x,vx,z,vz,phi,w,a1,a2
-1.1254724508,-0.0746026367,2.2481865046,0.0826751712,0.0529436985,0,18.3883039665,5.6971413133
-1.1292025826,-0.124839692,2.2523202632,0.553416298,0.0529436985,-10.5759688777,0.252692415,8.3355593866
-1.1354445825,-0.1417705565,2.2799910815,0.4004308549,-0.4758547415,-3.4427662378,15.5529142714,18.392154101
-1.1425331258,0.4816640908,2.3000126276,1.1128806637,-0.6479930525,-0.9473424155,14.862791083,18.3921054756
-1.1184499366,1.2797435681,2.3556566639,1.6718175858,-0.6953601739,2.0293571973,15.4703836032,18.3914587782
-1.0544627737,2.1347068775,2.4392475461,2.2045964076,-0.5938923155,4.3873165017,16.3818813763,18.389241966
-0.9477274453,2.8916653264,2.5494773692,2.844740331,-0.3745264919,5.8952270146,15.5421652922,16.2120414638
-0.8031441945,3.3274293299,2.6917143883,3.5079162122,-0.0797651429,6.2318948755,17.1743905618,15.0943136602
-0.6367727435,3.3970057735,2.8671102012,4.2689910241,0.2318295994,4.2642820751,18.3901881094,15.7544223701
-0.4669224704,3.0492306913,3.0805597544,5.0650515977,0.4450437018,1.9075446911,18.3921923845,15.6742209655
-0.3144609515,2.4321182374,3.3338123359,5.7538252771,0.5404209355,-0.4291233791,18.3928070341,16.6668215546
-0.1928550552,1.6862730204,3.6215036007,6.4083221278,0.5189647668,-1.8513167248,18.392590165,16.8151761851
-0.1085414262,0.9709128204,3.9419197021,7.0766225419,0.426398934,-3.096249721,18.3911782626,17.3959718171
-0.0599957281,0.3691500772,4.2957508238,7.8186704449,0.271586451,-3.8092210402,17.9156253464,16.2166307191
-0.0415381726,-0.0007937299,4.6866843406,8.5652315227,0.0811253987,-5.0818866722,0.0027373533,0.0044981091
-0.0415778407,-0.0008107691,5.1149459112,7.9893675517,-0.1729689352,-4.8894251349,0.0044216129,0.0051614447
-0.0416183834,-0.0007375294,5.5144142832,7.4193516297,-0.4174401923,-4.7050477137,0.0005230682,0.1688889159
-0.0416552824,0.0020148731,5.885381859,6.8608537296,-0.6526925789,-4.3879114639,2.9938922119,5.2963873193
-0.0415545799,0.2033950305,6.2284245399,6.5651919655,-0.8720881523,-2.3042532019,11.6096994469,14.3444913489
-0.0313848202,0.9962711039,6.556684133,6.6768094056,-0.9873008106,0.0613415659,15.5975845373,17.1507328949
0.0184287431,2.079532851,6.8905245988,6.8412372539,-0.9842337302,1.3533264434,9.7124246855,9.6845765632
0.1224053938,2.7048877036,7.2325864572,6.7118983191,-0.916567408,1.279257156,0.0078459561,0.0062077109
0.2576497872,2.6782767494,7.5681813688,6.1546324532,-0.8526045503,1.2298132034,0.0051102252,0.0022386065
0.391563634,2.6517088581,7.8759129841,5.6027872152,-0.7911138902,1.181199708,0.0050185756,0.0032001393
0.5241490724,2.6254197469,8.1560523374,5.0564965029,-0.7320539049,1.1352909219,0.0049280136,0.0041605125
0.6554200564,2.5994037212,8.4088771552,4.5157063729,-0.675289359,1.0919833204,0.0049043916,0.0053062845
0.7853902396,2.5736617145,8.6346624666,3.9803708223,-0.6206901932,1.051277858,0.0049493029,0.0067139022
0.9140733229,2.5481956974,8.8336810005,3.4504472935,-0.5681263006,1.0132378313,0.0050397519,0.008453349
1.0414831056,2.5230078988,9.006203358,2.9258956589,-0.5174644093,0.9780016405,0.0051058004,0.0105177022
1.1676334986,2.4980989624,9.1524981339,2.4066736161,-0.4685643276,0.9457549972,0.0049063002,0.0126944435
1.292538445,2.4734636925,9.2728318076,1.8927222541,-0.421276578,0.9167004914,0.0038235806,0.0141352045
1.416211628,2.4490820216,9.3674679132,1.3839267377,-0.3754415537,0.8908408513,0.0001081108,0.0168218754
1.5386657277,2.4249584014,9.4366642428,0.8801765157,-0.3308995114,0.87128822,0.0502831693,0.0837786315
1.6599136465,2.4026352027,9.4806730609,0.3858948823,-0.2873351007,0.8664551896,0.2973835422,0.3264414844
1.7800454054,2.3858990452,9.4999677959,-0.0845770791,-0.2440123415,0.8581058672,0.7836803086,0.7992507568
1.8993403566,2.377496648,9.495738951,-0.512794414,-0.2011070485,0.8388307619,1.150135459,1.1514224583
2.0182151881,2.3722832677,9.4700992371,-0.9079450626,-0.1591655108,0.8083772052,1.6565630943,1.6404240648
2.1368293506,2.3695682322,9.4247019898,-1.2591010347,-0.118746651,0.764546504,2.8677772158,2.8428003618
2.2553077615,2.3729598421,9.3617469434,-1.5100836614,-0.0805193264,0.7149982529,4.5888743821,4.5655399699
2.3739557529,2.3786454572,9.2862427654,-1.6203251723,-0.0447694144,0.6686808917,6.1377095051,6.1077349195
2.4928880252,2.3767010157,9.2052265116,-1.6051225056,-0.0113353705,0.6185708135,7.3868117693,7.3429370536
2.6117230755,2.3595155336,9.1249703909,-1.4902890151,0.0195931694,0.5587605973,8.6874753576,8.6308253409
2.7296988518,2.322263198,9.0504559446,-1.2732130133,0.0475311986,0.4905521642,9.9119790326,9.8461224549
2.8458120114,2.2614378938,8.9867952981,-0.9615192136,0.0720588062,0.4172350973,10.9435613282,10.8748101572
2.9588839059,2.1759776604,8.9387193415,-0.5719185068,0.0929205606,0.3442613691,11.0920321122,11.0269093844
3.0676827887,2.0721420382,8.91012342,-0.1757375052,0.1101336287,0.2770539396,10.248370236,10.2062151112
3.1712898906,1.961522487,8.9013365484,0.1487715516,0.1239863254,0.2315120584,7.4120387986,7.3745120069
3.2693660149,1.8687785992,8.9087751294,0.243722635,0.1355619282,0.1915387371,6.7010296278,6.668785856
3.3628049449,1.7778256905,8.9209612645,0.2806839862,0.145138865,0.1574702631,6.1189902807,6.0882623575
3.4516962295,1.6894312951,8.9349954669,0.2705421911,0.1530123782,0.125945403,5.9136221306,5.8824283421
3.5361677945,1.6006227356,8.9485225795,0.2436735178,0.1593096485,0.0952171312,5.8692225633,5.8380440345
3.6161989315,1.5103289878,8.9607062582,0.2131051788,0.1640705053,0.0656564467,5.8687033384,5.8409102257
3.6917153811,1.4187230534,8.9713615198,0.1825783744,0.1673533279,0.0400279313,5.8324172396,5.8082858827
3.7626515341,1.3269770478,8.980490441,0.149389762,0.1693547248,0.0184140842,5.8393001959,5.8175623722
3.8290003869,1.2351217463,8.9879599314,0.1170202677,0.1702754294,-0.0003928316,5.8764402674,5.8563570282
3.8907564746,1.143247738,8.9938109471,0.0879016886,0.1702557883,-0.0171141004,5.92247615,5.9033786284
3.947918862,1.0516711267,8.9982060336,0.0627485812,0.1694000838,-0.0323854968,5.971919657,5.9532195048
4.0005024188,0.9607396682,9.0013434646,0.0418306567,0.1677808095,-0.0467518021,6.0197344906,6.0010025043
4.0485394027,0.8708401514,9.0034349993,0.0250187175,0.16544322,-0.0606047021,6.0623792863,6.0432812306
4.0920814108,0.782388164,9.0046859369,0.011906123,0.1624129855,-0.0742420218,6.099369839,6.0797323695
4.1312008195,0.69579268,9.0052812447,0.0020562846,0.1587008851,-0.0878163171,6.1316417597,6.1115386944
4.165990454,0.6114424049,9.0053840604,-0.00488138,0.1543100699,-0.1012684416,6.160184221,6.1399360626
4.1965625747,0.529708677,9.0051399928,-0.0091687455,0.1492466485,-0.1143359013,6.1853850336,6.1654922805
4.223048009,0.4509521187,9.0046815569,-0.0110316506,0.1435298541,-0.1266160713,6.2068781614,6.1879301625
4.2455956154,0.3755251863,9.0041299756,-0.0107258301,0.1371990512,-0.1376474163,6.2237342698,6.2063152858
4.2643718752,0.3037672267,9.0035936853,-0.0085874651,0.130316681,-0.1469899875,6.2348358324,6.2194401419
4.2795602369,0.2359921876,9.0031643132,-0.0050528152,0.1229671823,-0.1542953559,6.2392785919,6.2262452092
4.2913598465,0.1724718404,9.0029116735,-0.000644205,0.115252415,-0.1593575743,6.2366797917,6.2261554382
4.2999834388,0.1134188136,9.0028794643,0.004070579,0.1072845368,-0.1621386801,6.2273337944,6.2192680991
4.3056543797,0.0589736356,9.0030829942,0.0085333301,0.0991776033,-0.1627663808,6.2122120078,6.2063830718
4.3086030616,0.0091986641,9.0035096617,0.0122521339,0.0910392847,-0.1615065244,6.1928406356,6.1889038576
4.3090629949,-0.0359201191,9.0041222693,0.0148493852,0.0829639588,-0.1587172192,6.1711032549,6.1686527994
4.3072669889,-0.0764642634,9.0048647394,0.0160943614,0.0750280982,-0.1547941432,6.1490117676,6.1476427592
4.3034437757,-0.1125690147,9.0056694584,0.0159171113,0.0672883913,-0.1501173036,6.1284792949,6.1278396912
4.2978153249,-0.1444071004,9.0064653148,0.0144032523,0.0597825262,-0.145008398,6.111120824,6.1109444236
4.2905949697,-0.1721726847,9.0071854782,0.0117715632,0.0525321064,-0.1397054995,6.0981040343,6.0982196581
4.2819863353,-0.1960675544,9.0077740572,0.0083383076,0.0455468315,-0.134358548,6.0900685585,6.0903852104
4.2721829573,-0.2162908411,9.0081909733,0.0044739459,0.038828904,-0.1290450293,6.0871198453,6.0875943305
4.261368415,-0.2330327097,9.0084146714,0.0005586666,0.0323766524,-0.1237996827,6.0888829214,6.0894839588
4.2497167792,-0.2464715916,9.0084426054,-0.0030577458,0.0261866681,-0.1186460135,6.0945814517,6.095267267
4.2373931993,-0.256773918,9.0082897188,-0.0060889042,0.0202543672,-0.113615388,6.1031035128,6.1038219122
4.2245545031,-0.2640951424,9.0079852743,-0.0083383485,0.0145735975,-0.1087466769,6.1130343965,6.1137392693
4.2113497456,-0.2685811997,9.0075683575,-0.0097224901,0.0091362633,-0.1040722203,6.1226712332,6.1233417824
4.1979206853,-0.270370191,9.0070822337,-0.0102919684,0.0039326519,-0.0996020483,6.1300794903,6.130738491
4.1844021753,-0.2695945324,9.0065676358,-0.0102482066,-0.001047451,-0.0953095041,6.1338775202,6.1346221446
4.1709224483,-0.2663837045,9.006055226,-0.0098964131,-0.0058129267,-0.0911069349,6.1337493667,6.1347658245
4.1576032627,-0.260866242,9.0055604059,-0.0095585642,-0.0103682739,-0.0868357844,6.1293896162,6.1309834334
4.1445599502,-0.2531719053,9.0050824782,-0.00957096,-0.0147100636,-0.0822440252,6.1201579576,6.1227421617
4.1319013546,-0.2434359144,9.0046039306,-0.0103110638,-0.0188222654,-0.0769995171,6.1071689049,6.1111460274
4.1197295585,-0.2318028384,9.0040883777,-0.0120611717,-0.0226722417,-0.0707913498,6.0925698897,6.0981730898
4.1081394162,-0.2184308694,9.0034853195,-0.0149329957,-0.0262118096,-0.0634614415,6.0783156311,6.0856127748
