x,vx,z,vz,phi,w,a1,a2,d1,d2,d3,d4,d5,d6,d7,d8
-1.1254724508,-0.0746026367,2.2481865046,0.0826751712,0.0529436985,0.0,18.3883039665,5.6971413133,3.89941668510437,4.713344097137451,2.1644234657287598,1.8765897750854492,7.58556604385376,3.546557903289795,3.6235461235046387,6.087681770324707
-1.1292025826,-0.124839692,2.2523202632,0.553416298,0.0529436985,-10.5759688777,0.252692415,8.3355593866,2.501230239868164,2.0987789630889893,2.07737135887146,2.423508644104004,3.5690255165100098,3.750004768371582,3.7199530601501465,4.3311357498168945
-1.1354445825,-0.1417705565,2.2799910815,0.4004308549,-0.4758547415,-3.4427662378,15.5529142714,18.392154101,4.279808521270752,3.7214369773864746,3.7226338386535645,4.390689373016357,2.2432126998901367,1.9038705825805664,7.506222248077393,8.849040985107422
-1.1425331258,0.4816640908,2.3000126276,1.1128806637,-0.6479930525,-0.9473424155,14.862791083,18.3921054756,4.26022481918335,3.7265877723693848,3.83095121383667,4.666873931884766,2.0577542781829834,1.7951428890228271,7.55488920211792,3.605217695236206
-1.1184499366,1.2797435681,2.3556566639,1.6718175858,-0.6953601739,2.0293571973,15.4703836032,18.3914587782,4.086667537689209,3.758794069290161,4.05693244934082,5.285428524017334,1.8503870964050293,1.7057673931121826,7.77317476272583,3.050314426422119
-1.0544627737,2.1347068775,2.4392475461,2.2045964076,-0.5938923155,4.3873165017,16.3818813763,18.389241966,3.961817502975464,4.130214214324951,5.1250128746032715,1.7437065839767456,2.13870906829834,7.3761067390441895,3.0560994148254395,3.3172788619995117
-0.9477274453,2.8916653264,2.5494773692,2.844740331,-0.3745264919,5.8952270146,15.5421652922,16.2120414638,4.174866676330566,4.877344131469727,1.7162342071533203,1.6804003715515137,7.0060930252075195,3.3344736099243164,2.4406673908233643,5.828432083129883
-0.8031441945,3.3274293299,2.6917143883,3.5079162122,-0.0797651429,6.2318948755,17.1743905618,15.0943136602,4.707104206085205,1.7127918004989624,1.5339065790176392,5.257202625274658,7.4189581871032715,2.211273431777954,3.5635690689086914,5.512913703918457
-0.6367727435,3.3970057735,2.8671102012,4.2689910241,0.2318295994,4.2642820751,18.3901881094,15.7544223701,1.6137207746505737,1.6407462358474731,5.039731502532959,6.801830291748047,2.168704032897949,2.1319844722747803,5.297940254211426,5.498291492462158
-0.4669224704,3.0492306913,3.0805597544,5.0650515977,0.4450437018,1.9075446911,18.3921923845,15.6742209655,1.2226063013076782,2.119309902191162,4.803857326507568,6.6915788650512695,1.8474555015563965,1.8725130558013916,5.154760837554932,5.452662944793701
-0.3144609515,2.4321182374,3.3338123359,5.7538252771,0.5404209355,-0.4291233791,18.3928070341,16.6668215546,1.3383196592330933,2.2703144550323486,4.572874069213867,6.399350643157959,1.7337199449539185,1.2767831087112427,5.055441856384277,5.32769250869751
-0.1928550552,1.6862730204,3.6215036007,6.4083221278,0.5189647668,-1.8513167248,18.392590165,16.8151761851,1.3590128421783447,6.704197406768799,4.196430206298828,5.756916522979736,1.8164397478103638,1.2303736209869385,1.0587269067764282,5.034392356872559
-0.1085414262,0.9709128204,3.9419197021,7.0766225419,0.426398934,-3.096249721,18.3911782626,17.3959718171,1.2436209917068481,1.6392872333526611,3.9845166206359863,5.202882289886475,5.649250507354736,1.3998022079467773,1.0830134153366089,1.007206916809082
