x,vx,z,vz,phi,w,Control_1,Control_2
-0.0339918647,-0.7581020529,0.1484464507,1.8300011573,-0.0580308302,2.257988706,0,0
0.1375433438,-0.6326174399,5.8980023349,-1.2265864113,2.2240502303,-0.3522331638,0,0
-4.5660916122,-1.248367481,1.5457896261,-1.8053122637,-0.4655339204,2.4333405959,0,0
4.2875487752,-1.5968085494,8.2049442672,0.0523977059,0.7357720174,-1.2891070438,0,0
-1.5392766535,1.553635507,4.2811719927,1.7810635122,-2.0346943966,2.2015143926,0,0
0.3901883734,0.1392482321,9.4298844934,-0.6508704523,-0.7311300537,-2.6236606751,0,0
1.2109763108,1.4309163709,7.8776324153,-0.6055997355,-0.8964209421,-2.2037195829,0,0
1.3424921907,-0.8086677894,7.0277831651,1.5808625291,1.6154861363,0.8492743688,0,0
2.1377651224,1.1368881325,8.0785794447,-0.0236235973,-3.0048084229,1.0727843932,0,0
0.0838704612,0.5167926803,8.8358826493,-0.0395440963,-0.7657422151,-0.3516922137,0,0
-0.0774638177,0.2872153646,0.0161392172,1.5520223347,-2.1359392281,2.6045133299,0,0
-2.4061739368,0.7641421291,2.9457300508,1.5453509205,-1.98543955,-2.749522338,0,0
0.7807257062,0.7758340155,4.5164472446,1.3051025768,-0.0203207465,-0.5806581095,0,0
-4.8124613993,-1.1306125081,3.651496323,0.5738492599,-1.6066436527,2.8745571017,0,0
3.2853307345,0.072189896,2.4457382706,1.8313944805,-1.7798453788,-0.045340638,0,0
-2.7530659462,-1.2710304841,4.7639879927,-1.5992186556,-0.6975938336,0.0498861207,0,0
-1.3062983333,-0.0743443742,2.1488573007,-0.3915368809,2.693171079,1.415922529,0,0
1.4955491436,-0.0006460098,3.9219392847,0.6509386166,-0.554877402,1.6789643291,0,0
2.5152731263,0.9222213047,9.392683785,-1.3277205039,-2.3643572306,-1.9939961159,0,0
4.2900274058,0.8965622572,0.9278089333,1.0824718183,-1.9326522649,-1.5273489981,0,0
3.2435895336,-1.9280214206,0.9430596422,1.742559895,0.789617904,0.5377675828,0,0
-3.7125776316,-0.2328451234,2.6571028894,0.2521715649,-3.1269948039,-0.8657522841,0,0
-1.1895316626,1.2189478162,5.0830022609,-1.1558351802,-2.5193276387,2.7888818931,0,0
3.1726692338,0.7715032507,8.4505086807,1.4932281545,-0.6089306468,-1.8367467245,0,0
-1.3901802903,1.9635541966,9.8697619247,-1.8746821227,2.7210446738,1.4170636727,0,0
0.499923862,0.4223196147,1.1572346137,0.0381221127,0.5423784365,-1.1841400604,0,0
-4.3419241086,1.737282325,9.627448938,1.8659349614,2.1255967681,-1.8652360449,0,0
-4.1421218901,-0.4111899068,5.6690553822,1.6723265378,2.3835902,-2.6926702251,0,0
3.4266065788,-0.3667628802,4.9462851206,1.939420222,1.544203007,-1.5513769239,0,0
-2.1300223774,-0.612237055,7.9418890679,1.8756072221,2.4631485467,0.3272017724,0,0
4.5177461574,0.7717822078,7.9084136346,-1.2086291618,-0.9226770134,2.0286055129,0,0
-0.4393286899,0.1981897303,6.5778783162,1.5920279214,0.4564632676,2.660715923,0,0
-1.9524096995,-0.9474312799,0.4339235918,0.6813393968,-2.5111505268,-2.6794692586,0,0
4.8637377022,-0.4675705763,4.4667403625,0.3128619807,0.6622254858,1.3037983873,0,0
1.6014849403,1.8881719138,2.1709336439,-0.9626524057,-0.2686038211,-1.4142577499,0,0
2.1642487443,1.4576507308,3.0394279448,1.2213554721,-1.7824520781,-1.5363133623,0,0
-1.2885663132,-1.8800902805,9.4312367871,0.2388599519,-2.2608825683,0.4721920265,0,0
1.4159243526,-1.7339225171,3.7843884339,-1.9020021222,1.448605018,0.273456941,0,0
3.9668459164,1.6217280081,2.7625796191,0.5785390945,-2.9674982661,-0.9238030448,0,0
-0.5318649913,0.9176829075,0.906552886,-1.4576403104,2.0121267419,2.7217315868,0,0
-2.5104437392,1.8344457136,6.7811331299,0.6170987,2.4777569437,-2.6163490945,0,0
-0.3705945065,-0.8011965109,9.5627581946,0.0255773322,1.3980749397,2.8210730707,0,0
1.3254235231,-0.4700824932,3.6157470729,1.5306476344,1.4375126776,2.8817167859,0,0
3.3444154672,-1.4231909057,0.6116365376,1.7231383712,1.1207548472,-1.3399294747,0,0
3.3325601547,-0.130634344,9.0552748853,-1.9958712673,-3.0675270253,-1.2326340937,0,0
-4.7397707331,-0.7134445546,6.9593264121,-0.503719771,-0.3824279218,-0.3481827309,0,0
1.3527080788,0.643199618,1.4614701115,-1.9338873906,-0.477906494,-0.0075886222,0,0
4.0616116902,-1.4547412972,3.5853425484,-0.039256168,-2.3354937094,0.1822725252,0,0
0.088071038,-0.313249104,1.4886260016,0.8998171776,-0.3473874917,-1.3321705572,0,0
-0.3413270771,-0.063813056,8.0864825512,-1.4227545214,-2.4482480629,2.2630157567,0,0
3.1021897828,1.6997147792,4.9363203421,1.7378608126,-2.9843495322,0.3315521907,0,0
-4.6357764364,-1.5579258444,2.1897127617,0.0326906437,0.4618224729,-2.7734743303,0,0
-0.4524287123,0.0342185647,2.5553269001,-1.7433042071,0.3381546336,-2.0539727541,0,0
-3.1233785378,0.0208359155,8.3895628402,1.8375885493,-0.4531522967,0.1470075988,0,0
-0.1851763707,-0.2933539481,1.1916920896,-1.5958784985,-2.3115394914,2.134083001,0,0
-3.0999974727,1.23621174,9.3080392995,0.7328704182,-2.5581252326,-0.7270788656,0,0
-1.350326992,-1.5335479513,0.6860648209,1.8681098018,-2.0183002333,-2.2367612237,0,0
0.8843135885,0.8864096317,5.9001627996,-1.7171827974,0.5591402396,1.2510194369,0,0
2.6406349893,-1.8916551991,2.8626800088,0.6661081542,-2.0100202688,-1.4745442793,0,0
-3.6253524263,1.5847681627,4.7419839143,-0.9685227995,0.4381788128,-2.7802716285,0,0
-0.0945603865,-1.1258501913,8.0385634883,0.4735133787,-0.3828094182,1.3348329696,0,0
-3.7861723519,-1.9550910681,9.1937900812,-1.1448794182,1.1843234878,2.8782949577,0,0
0.5454706287,-0.1117032925,4.1271205274,0.3973458921,2.1073718418,-1.0556571717,0,0
3.2186702589,-0.0611460059,4.6678113374,1.564631232,-1.7079357285,1.0275753163,0,0
1.4521022112,-1.7683456737,9.4822610233,1.4197853581,-2.3492131609,2.064614795,0,0
-3.8731487562,-1.5856366285,8.807943407,1.2753680734,2.883288752,0.8761348499,0,0
-4.084120147,-1.8892192298,9.076319468,0.6405805955,-1.0727059971,-1.9291939341,0,0
3.2455045464,0.4532336628,1.4165671226,-0.5344809649,-2.9814549297,-0.7561463706,0,0
0.5387634013,-1.2827071519,2.7504713276,0.7108371957,0.0184626495,-3.1113889188,0,0
-4.0787581244,0.2070199651,3.8291417011,-0.3191874834,-0.2254422687,-1.6077270341,0,0
1.8951697968,-0.8420516913,2.2586533785,-0.601993248,-2.3264733867,1.3643504337,0,0
2.267575375,-1.0038195835,6.0670856563,1.0222019013,0.7186953791,1.6465936227,0,0
3.6672844475,-0.358868301,8.734561982,-0.1788338243,1.4286379115,1.2167598143,0,0
-1.1682462194,-0.0924298983,3.6273931532,0.9193790263,2.3275771448,-0.1766779626,0,0
-3.8103271302,-1.1316155864,1.4123327602,1.877483621,1.9846912974,0.9812122942,0,0
-4.8767916891,-0.6171167414,8.5609775798,1.9503008281,-0.4472785632,2.396956624,0,0
2.1946970585,-0.4891132365,2.037209449,-1.8844682535,2.9521715252,-0.6952097314,0,0
-3.1331009102,1.8258750696,4.4242856751,1.3345949526,1.7344177176,-0.9262413745,0,0
-1.4225635736,0.227854371,7.6692650032,1.109811726,0.7460883574,2.9309072893,0,0
2.828846862,0.2565356784,4.9387576891,-1.6645698923,-1.6170293184,2.3744976199,0,0
1.7280855264,0.3113140462,8.3559214458,0.4383643822,2.3807749843,0.4823809213,0,0
1.6559161497,-1.5476119067,4.2151761241,-1.9120597554,0.6479339676,0.4627492417,0,0
1.5186261876,1.5928770565,6.9990606458,1.5167270543,-0.8528019777,-2.5079358947,0,0
-2.6130370753,0.6127801101,1.3267420514,-1.8847664476,-0.2570596101,2.6035844323,0,0
-4.682015469,1.0973212746,9.6888178331,-0.8413122405,-2.4398776656,-0.2667044412,0,0
3.4202938356,1.8926012062,8.9734444582,-0.1758019053,-1.3990393871,-0.2456761756,0,0
-3.2580603848,-0.4821663054,4.5232762173,1.361314926,2.785022108,2.8732715146,0,0
-0.7266637277,-0.7916104065,7.9579509601,-1.7977599144,-0.761535873,-2.1376557134,0,0
2.4635849753,-1.9370440739,5.9688353925,0.872497326,-1.7104910783,2.6246122321,0,0
-1.4181367935,-0.2013965472,2.6634379034,0.0554610903,-2.4995350035,-1.1302315249,0,0
-3.1819091007,0.7088751837,0.8994318953,0.0022951454,2.9008732974,1.8011303223,0,0
4.0637261975,0.7763957844,1.8687027149,-0.3241388431,-1.6014116148,1.0983970658,0,0
4.5930235394,-1.5513034645,1.9772775419,1.8633262719,-2.3121595633,0.3175914608,0,0
4.4707979898,1.8801940357,8.2689270967,-0.2874243593,-0.4711286663,-3.0024694418,0,0
-4.2571282451,-0.9158578216,3.0168686387,-1.6042571007,-0.7260422361,2.0654270975,0,0
3.5963156877,1.9161242524,2.9730376441,-1.6063997376,-1.1977975685,0.1784473188,0,0
-4.0730413977,-0.5050034327,5.8634263939,-1.3763627164,2.7187831979,-2.1556292805,0,0
-4.4714325803,-0.895751094,6.4540078471,-1.7275175649,1.2069499567,-2.1935626276,0,0
-3.6139574856,-1.927805317,2.5401624497,1.8203709074,2.3658955774,-2.9757317544,0,0
-2.9884325884,1.3284902589,8.5850444188,1.6437477325,-2.3428967208,1.7044607247,0,0
-1.2165217549,-0.7428970659,1.9132881391,1.0846806085,2.3257424676,1.498571457,0,0
3.0316324822,-0.32498768,1.6272709925,-1.1152781193,-2.7988654017,-0.1193695843,0,0
4.2899385962,-0.0262918753,5.7236232937,-1.9867838705,2.2420982626,3.0755049244,0,0
-2.4931378108,1.3948920726,9.5665222789,0.9977770792,-2.1829866762,-0.5882707942,0,0
0.0932140014,-0.1342994883,5.6470471029,-1.6371703858,-1.7729691278,1.176160614,0,0
-4.4744705014,-0.4910914578,9.2982362169,1.17194805,-1.5778050475,2.9131458156,0,0
1.7758514664,0.5362086641,7.1938636945,0.1990904678,-2.2862976696,-0.9958949468,0,0
-3.0073359093,-0.4253726578,9.0882805752,-1.2198414472,-1.1427998102,-1.0671625736,0,0
-3.8741880653,-0.0251842499,2.1167615335,1.9935310718,-0.5830901245,2.1597030882,0,0
0.8077710114,0.309977015,6.9264982745,1.4568677235,-0.8444534478,-1.0040601005,0,0
2.0636407133,1.6053508639,2.7274402522,-0.0258273559,1.6862212696,0.7842629943,0,0
-3.7403970311,-0.2289626831,3.8128568731,0.4671220924,-0.1976602922,-1.8621741532,0,0
-2.9041763747,-0.2528435922,9.6437414579,1.40245015,0.337108982,-0.7235494903,0,0
-0.7010342867,1.8529689997,1.9052430074,-0.5693802929,-2.8434568216,3.1112892117,0,0
-4.0794285089,1.5863292339,7.4003136172,1.801790491,2.1166694691,1.4385317077,0,0
3.1051433727,0.6331569192,3.982000621,0.6484976008,1.657247826,-2.7670954077,0,0
-3.0041727781,-0.5428684498,6.7254933077,1.4077105601,-0.0428757568,0.6996608398,0,0
0.4528504883,1.866445109,7.2050973564,-0.7293615767,-1.5439821993,-0.4973252666,0,0
-3.3664799821,1.4219730767,1.2240961852,0.9674456387,0.2876073835,-1.9679155878,0,0
1.0521964806,1.1341509931,0.8449335155,-0.3626460244,-2.0417612648,-3.0328157504,0,0
-4.4695626869,-0.1783317234,9.7233982693,-0.3892566717,1.0698133099,-2.2587389467,0,0
4.1675494706,-1.7270710798,6.0625142931,-0.7302510345,2.6824466684,1.0098801941,0,0
-3.2579107951,1.4414488883,8.3694494681,1.8445620889,2.9798887539,1.9165758895,0,0
-3.8922002018,0.271711032,7.5492473019,0.1419951594,2.4137498715,2.1637871579,0,0
1.947223446,1.2690220462,9.5204027597,-0.42105825,1.5194923859,2.6377861393,0,0
-4.6101406021,-0.9437637789,6.9325066751,-1.4285142304,1.4144186041,-1.5361209493,0,0
-2.7204662739,-1.2968370636,1.4618262015,1.1358039271,0.4398644244,-1.5888702595,0,0
-4.6933569837,1.1477221685,2.6248756498,-1.9373668575,2.2534653092,-2.0584445772,0,0
0.0689041542,-1.4561568168,8.9743180429,-1.41577989,-1.5600291844,-1.4039881048,0,0
3.6072960936,0.3442023835,9.3368871631,-1.0587493181,-2.4684155125,-2.4650351832,0,0
4.1257788547,0.7003438702,5.4026993081,-0.2588793591,0.7159865708,0.4147209177,0,0
4.1691092194,1.5572425635,2.7877219469,-1.7254693007,-1.0800667989,-1.9551596112,0,0
-2.7966303556,-0.7962898683,4.2340343671,-0.0487613022,-0.5213834066,-0.2611412551,0,0
-3.7352317415,-1.8877243076,8.2000171297,1.9127282136,-2.848393666,-0.6624512522,0,0
-4.6347516482,1.9814892247,6.5572835777,0.7277027473,1.0284758132,-0.3199588883,0,0
-2.2731625612,0.3476270811,3.3701271491,-0.7822700433,1.6232695301,0.1307144902,0,0
