,x,y,theta,delta,vel,value,d1,d2,d3,d4,d5,d6,d7,d8
0,3.6710114534,-2.994478168,-0.8330625045,1,2,-821.9445072024,0.3707104921,0.3868515491,0.6014044881,0.9816069007,1.8810971975,4.5833539963,0.6728085279,0.5486429334
1,1.7300132058,0.0427311211,2.9107478017,2,3,-627.0971727557,0.2943162322,1.329046607,1.1735314131,1.0050032139,0.8765676618,1.0020403862,0.6862300038,0.6054526567
2,-1.5446768443,-2.1383877535,1.2821990369,3,4,-890.4941417703,0.3551809788,0.3883569241,0.4958368242,1.5937108994,1.2860631943,0.9645056725,0.7260664701,0.5911304355
3,-2.9007589391,1.6402606352,0.4249117043,4,5,-918.7406499867,0.8235512376,0.8276022673,0.989215374,10,21.6527919769,9.5276136398,6.7765426636,5.9607563019
4,2.3021275293,-4.846413999,2.1968166279,5,6,-372.3883413708,1.3228250742,1.1676626205,1.8359162807,10,10,10,10,0.2571353018
5,1.964710732,0.0016649955,2.6429637973,1,2,-328.930031144,0.6485277414,1.8458967209,1.4586616755,1.1866192818,0.8926320076,0.6871042252,0.5056779981,0.4677590728
6,1.7805439937,-1.8825636738,-1.1025289822,2,3,-933.5535441355,0.3059469163,0.3424485326,0.4883127213,0.8173122406,1.5013059378,2.5317575932,10,10
7,3.332537285,-4.3575665252,1.609116534,3,4,-465.9520810475,0.6077877283,0.6387628913,0.8659531474,3.0377962589,10,14.9561729431,10.0113477707,8.5054044724
8,1.7189013946,-0.0989602654,1.8371022858,4,5,-264.922603289,3.404676199,0.5202360749,0.3711925745,1.5338616371,1.192453146,0.9845904112,0.8214233518,0.7155898809
9,3.9656103704,2.7331689883,1.6966651514,1,2,455.101967632,1.0398677588,1.97202003,3.7208604813,0.6362617612,0.5221993327,0.5032622814,0.6186088324,1.2514609098
10,-2.4691487872,4.7519323863,-0.6769675916,2,3,1965.4401890441,0.5537329316,2.820138216,11.5803203583,9.9055709839,9.9875459671,11.8971452713,0.3031572402,0.2600238621
11,1.7503741661,0.3325463918,-3.0356916019,3,4,-550.6545326392,0.4307008684,1.4731080532,10,10,10,0.762316227,0.6312919855,0.8859650493
12,-0.0721353937,4.8780259954,-2.8931796993,4,5,1622.4888518434,0.8931326866,0.5158637166,0.409540534,0.3824046552,0.4237147868,0.5733534098,1.1281915903,0.252579838
13,2.8144676229,2.2058932335,1.8757719883,1,2,-406.7999803358,1.0227751732,1.6429049969,2.6310539246,0.5587342978,0.4464808404,0.4536888301,0.5870497823,3.4127249718
14,3.9110343377,-4.908034267,-2.7099365707,2,3,-568.6209917771,10,10,10,26.3230381012,26.9762115479,10,10,10
15,-2.4599336323,0.4229879166,-0.1751105861,3,4,-239.9171274624,1.7058559656,0.2252542078,0.2842807472,0.8531250954,0.6821833253,0.5412260294,0.5292435288,0.4745444953
16,-1.9371997576,-3.2093872127,-1.5102331984,4,5,-584.7696659911,0.5519592166,0.6622238755,0.8521519899,1.0566174984,1.3060196638,1.4607058764,0.4267932177,0.3748850524
17,3.5600976623,-3.1242980064,-0.8595173513,5,6,-846.8844909767,0.3141165376,0.3952669203,0.5867779255,10,10,10,0.7129722834,0.5955700278
18,2.4542493257,-4.223987123,-1.2835433758,1,2,-163.4345977839,10,10,24.0536155701,18.5618648529,17.2629985809,0.4587001503,0.3543593585,0.2527703643
19,0.7501840079,0.0710291601,-0.6742119425,2,3,-416.1959663893,1.4387737513,0.5163762569,0.4115367234,0.3686247766,0.3735980392,0.4605641365,0.7188974023,3.8954055309
20,-2.3944363,-4.1712891735,-2.3152395738,3,4,-729.0111165413,0.533865571,0.6278470755,10,0.9063689113,1.4151893854,3.2953362465,0.6941082478,0.3783681095
21,4.1804674529,1.517084067,-0.5827382441,4,5,-383.9435442438,0.5980228186,0.6171860695,0.5666731,0.691031158,0.9754964113,1.5762320757,2.7731077671,0.6082329154
22,-1.2018348917,-2.8199066327,1.5757192697,1,2,-348.7183093972,1.0473394394,1.3148356676,2.1107108593,0.3638383746,1.5010433197,2.1406731606,1.1134634018,0.9132353067
23,2.2549558766,-4.3823524989,1.9287504281,2,3,-732.7316596455,0.5249585509,0.7547475696,0.9658172727,1.1650779247,8.4238004684,8.3354206085,9.6969661713,10
24,3.8664361897,2.7400501027,0.7100081362,3,4,-517.8496651434,0.4914625883,0.6349985003,0.8450030684,1.4504733086,2.680721283,0.7168512344,0.4952859581,0.4112144709
25,2.999279082,1.9664812515,-2.471611124,4,5,-669.3458551842,0.5041993856,0.8833009005,3.0929656029,1.3859490156,0.7989751697,0.5702329278,0.4600511789,0.4372060895
26,-2.7052703603,2.1086303516,-1.2662837865,1,2,-916.3866145887,0.9495704174,1.3410570621,0.7027776241,0.4653095603,0.3594108522,0.3702289462,0.4146872461,0.6332830787
27,1.2460041745,4.051910813,-0.9287011133,2,3,-165.6991497859,0.8214312196,10,1.7229971886,0.7862632871,0.4734471738,0.3700204492,0.3516178727,0.3944565058
28,-2.2571567173,-1.7308902392,2.9631841099,3,4,-373.6341672892,0.6160104871,0.5484361649,0.5701081753,0.605037868,0.7212531567,0.8708485961,2.1304953098,1.8732123375
29,1.3379059915,4.9597214893,1.87297407,4,5,-954.426961134,10,10,10,10,0.9709720612,0.5923323035,0.3022201061,0.4632638991
30,3.5089761043,-2.8767771039,1.3518054453,5,6,-290.6452760845,0.5110369921,0.3830142617,0.3686576486,0.4194267392,0.7652877569,5.1326799393,1.3535764217,0.8692198396
31,4.5714969805,3.4338840089,-0.9777679713,1,2,-888.9309335488,10,10,10,10,10,18.8712558746,11.7742891312,9.6188802719
32,-2.1340208171,-4.3169078921,-1.5970749261,2,3,-563.0386053805,10,0.2713458836,1.0518749952,10,1.7478585243,0.5570363998,0.3674421608,0.3247053623
33,3.5322469069,4.599696047,-1.8288684049,3,4,-309.0178577471,0.6635186672,0.9799660444,10,10,10,10,10,10
34,1.0733528048,1.2253414458,-2.2420978417,4,5,-684.1417959311,0.5471739769,0.6752200723,1.1143423319,1.8312461376,1.1874845028,0.5830490589,0.4184148312,0.3664959669
35,0.5277142179,-4.3130151496,-0.4559974687,1,2,-680.0706646032,0.5976057053,10,0.824887991,1.7419863939,1.2979614735,0.7824240327,0.3834881783,0.4909452796
36,-1.5304937278,4.8236587706,-0.4194172017,2,3,1339.7964807984,1.4801152945,10,10,10,10,10,7.2856707573,4.9974822998
