x,y,theta,value,d1,d2,d3,d4,d5,d6,d7,d8
4.1350654939,0.2646056203,0.7145993876,837.5837088755,0.6710087657,0.5475472808,0.5372421741,0.6123242974,0.8617116809,1.9898281097,4.6810588837,5.3407826424
4.4868519924,-2.1132174394,0.7908911521,180.200122649,0.2426988333,0.219105348,0.2090082616,0.2450318187,0.3544767499,0.9930065274,7.1429829597,1.5157676935
-3.0979412074,-1.5931923557,-0.5346193961,725.1096676207,3.3750407696,3.1858928204,3.5210080147,0.7806324363,0.8372857571,7.7803235054,3.0513124466,8.7534484863
0.4387254723,-2.7622648073,1.6427005957,802.6140928925,4.3767733574,3.4321200848,3.9324991703,7.723965168,2.5031921864,5.5916872025,6.2018499374,2.2775609493
3.3553443102,-2.8535039296,1.5002973211,718.2741291891,1.318626523,1.5062203407,2.1358101368,4.9244875908,7.8219866753,6.9150180817,4.0793609619,8.6107196808
3.6060746092,-3.4627497446,-2.4180376838,619.9566346144,8.4280948639,5.6132831573,8.6375246048,2.6088409424,1.6466811895,1.3571941853,1.3357361555,1.5154819489
2.6178984067,-3.0716188152,-1.777579684,761.7039546504,7.5683174133,4.6110315323,2.4478342533,1.8611029387,1.7069331408,1.8334439993,2.3803842068,2.2264814377
-1.317902884,2.390535647,0.9314474698,1153.6224525687,3.3585064411,5.9850735664,6.3521842957,1.3084220886,2.7878205776,2.5214931965,2.666918993,3.3845746517
-0.5184699721,1.8526174569,2.7480753846,1218.7445116624,1.32366395,3.1173474789,3.668825388,5.325802803,2.1723427773,4.519990921,5.3176484108,7.955845356
-2.4363796493,-0.7544585231,1.5856275776,908.3265155272,2.1397395134,8.6129579544,4.6582741737,5.7548408508,2.4590325356,4.4308996201,2.9971034527,2.5537385941
-0.8828860754,-1.4354774621,-1.7644849065,852.4087972229,4.0639381409,1.1415942907,1.3230446577,3.6108579636,3.3372876644,3.6191165447,4.7330584526,5.9908542633
2.9202197641,-0.7283250664,-3.0456722387,701.0217093345,1.7968869209,1.7738615274,6.3296995163,7.9062156677,4.9599852562,6.4164962769,4.5959730148,4.0656404495
-2.4169867915,-3.59477305,3.054355648,616.4583317066,5.276822567,5.2741651535,3.2468318939,2.6360936165,2.5454068184,2.4512779713,1.5110571384,1.226028204
4.0110257987,-4.0321898059,-0.8247936957,677.5412020173,0.921397984,0.7621392012,0.7594846487,0.8689240813,0.8080064058,0.6680927873,0.6584293246,0.7580102682
-3.0923034207,-1.7268144997,-0.0765846736,730.8829211267,3.0733475685,3.4873383045,0.7324411273,0.6022034883,7.812608242,3.150509119,8.4439086914,6.8872327805
-2.9186763978,-1.9255490222,2.7271371632,706.8130572455,7.0016775131,6.9327058792,3.7875916958,2.4818341732,2.0786237717,2.059401989,2.4002213478,3.4819180965
1.1263561078,-4.5198898253,1.7876133297,154.6728289931,3.8490300179,5.0967040062,9.6786584854,9.4273414612,10.2885789871,8.4325304031,6.5276288986,6.0738949776
4.1157328995,1.2368881361,2.9159006679,1375.5387818166,3.6705935001,3.9224426746,5.0374312401,4.6637859344,1.7125610113,4.0335187912,8.7649374008,1.5147629976
-2.7349601497,-3.7676784719,1.0662844072,601.5779540888,3.288574934,7.424454689,6.6216850281,4.4779372215,1.2542337179,5.4394373894,4.8259148598,2.8969547749
-1.8695953356,3.7096606514,-2.4761876526,1157.3470291088,1.831987977,3.2434895039,3.0866746902,3.4583728313,1.7965472937,8.9283399582,8.5125923157,3.7688963413
0.6446495645,0.508569878,3.1216546497,1005.5069270474,2.6815533638,5.2205095291,6.8231716156,5.7367300987,0.9068332314,0.3456372321,0.52585572,5.4143176079
-3.7563216675,1.8614657924,-0.9846543616,843.3110976915,1.6713346243,3.064031601,6.6292772293,4.0355591774,9.343708992,0.4446409941,0.401178658,0.4473017752
-2.4263380175,1.3387541518,3.0469164405,1072.1007951332,3.5891559124,0.482729733,0.495986551,2.6382024288,2.5270574093,2.8633544445,3.9892492294,6.3817601204
4.0681144434,0.0239853201,-2.1226637577,476.1900922041,1.7792758942,3.7229001522,0.4221814871,0.3224216998,0.6300930381,4.8111143112,1.4286680222,0.8152569532
2.1764472111,4.3679117057,1.9301422017,1389.9319395504,1.0200185776,0.6673367023,0.5497484803,0.550042212,0.6361125708,0.9169499874,2.3503167629,7.2188410759
3.2257904094,-1.6577549925,0.3209904479,755.2135123673,2.922495842,1.8268414736,1.4918760061,1.4574410915,1.6630077362,2.3418710232,0.8403794169,6.6065068245
-3.8151461799,0.5672051813,0.0365252278,929.3591095787,5.4912853241,3.0048420429,9.9765615463,3.5084853172,8.7057361603,4.4158644676,1.2714406252,4.3932986259
-0.4096779223,-4.2311848412,-1.8882375042,698.4243917202,4.5646867752,2.0436105728,0.8866518736,0.6241106987,0.5516753197,0.5669683814,0.6919811368,1.1114115715
3.8540356501,-3.9980020377,-1.0036258032,683.9190588514,1.1307661533,0.849172473,0.778488636,0.8421528339,1.0798704624,0.8839403391,0.8164877295,0.8677639961
2.1933550953,-4.4841304738,1.9489585743,239.4727270841,2.9336471558,4.3258776665,9.6138286591,9.5457324982,11.1742620468,8.6957445145,7.3031945229,1.6219563484
-3.6707392333,1.7844415614,-0.995472642,849.7974155083,1.7750639915,3.2248094082,6.569674015,3.9317960739,9.1569414139,3.6292147636,0.3260039389,0.3476756811
3.8817530005,-4.4942497264,-0.4553007825,172.7964657648,0.2886432707,0.2803013623,0.318308413,0.4638400674,0.8080680966,0.7918444276,0.8986684084,1.2886646986
1.6978781598,-3.9600266089,0.1338522379,640.9788654759,0.8626330495,1.0816527605,1.8397661448,2.9707195759,3.1374323368,3.9534189701,3.4692699909,4.6145644188
4.6407904309,-2.8574158913,-0.143445582,-147.0326383046,1.9104729891,0.6426938772,0.3597252965,0.2783398926,0.2640196681,0.2874188125,0.3740486205,0.7087700367
-4.7470542025,-0.468331164,1.6658220932,-376.7411285679,9.825674057,5.7362647057,2.9363520145,5.4010915756,0.7108018398,0.3200030029,0.2251119316,0.2027719766
3.8286873061,3.1128634789,-0.3899311851,1794.3044244799,3.3280456066,4.2697181702,1.5038361549,1.0066959858,0.8537146449,0.8538446426,1.013582468,1.5100411177
-3.0409971963,-0.0260880749,0.4318368815,959.6725079408,5.8599009514,9.053273201,7.8026065826,4.8864889145,8.4076738358,5.782397747,1.6954983473,5.0731873512
1.0488271955,0.3763922841,2.5250989565,1075.1835594717,4.9673337936,4.5305089951,2.9724662304,6.231139183,4.053237915,6.0028100014,0.7511546016,0.9667108655
3.5008007018,3.3531324515,-0.3780483622,1907.6335637328,8.2698202133,5.6047077179,2.0518376827,1.3906896114,1.1851876974,1.1974775791,1.4162698984,1.8536988497
4.099196332,3.0284693113,2.3351934791,1785.8489562189,0.9815915823,1.9238381386,1.9115126133,2.2293605804,3.2596113682,8.6357059479,6.8473272324,4.9900641441
1.6700383128,2.1977370088,0.5604996217,1603.4731477947,4.3682179451,3.2906200886,2.9958870411,3.1997425556,3.9465355873,2.9635689259,2.7140572071,2.9001710415
1.7283335412,2.5567727857,3.126821396,1539.8124453914,2.3844518661,2.7954063416,1.6834669113,6.8299636841,4.4461545944,7.9522571564,2.6917312145,7.5046520233
-4.3461261823,-1.0135761518,-0.663172231,566.4306601363,1.3193110228,3.7741246223,3.9671714306,4.9615793228,2.056245327,9.0367984772,4.2139773369,9.0769815445
-1.2935822322,1.342408167,1.8202785813,1042.8073379639,6.5958805084,2.4329683781,3.7788078785,3.5685973167,3.9490361214,4.9164443016,1.443089366,3.6525247097
-4.5911808818,2.4363780775,2.4754170064,62.7841247432,2.7707798481,2.476970911,1.1486827135,0.5438110232,0.3992956281,0.3529646993,0.3748679459,0.4741462767
3.257391013,0.4884441446,-0.0848671857,816.0465570642,0.6333416104,0.7291300297,1.800458312,1.4701453447,1.4117847681,1.6125516891,2.2629852295,4.5995693207
-4.0545112447,-1.9622586525,2.1717020529,686.9015847027,9.6272649765,7.4084239006,6.870651722,2.278003931,1.2535526752,0.9569458365,0.8968212008,0.9710877538
-4.0677384578,-0.0452600861,-0.2586441528,837.7723527329,4.7421979904,4.9985985756,2.4377396107,9.7371330261,3.727203846,9.2227668762,4.9541354179,1.8938541412
2.1835595403,2.5444163707,-2.4196744741,1707.3566305002,3.8816006184,2.3406069279,4.8765125275,8.2383718491,3.0183815956,1.2356952429,1.2088713646,3.1096742153
4.1058650486,-0.4805795259,2.4362080244,289.6100489362,1.1330213547,4.7123289108,5.5994763374,0.4142626822,0.3018854558,0.2583686709,0.2648099959,0.3308300674
0.6454596813,-3.7678746596,-1.4121367417,747.4641377781,2.9134485722,1.4862009287,1.1087020636,1.0075200796,1.0761235952,1.3720988035,2.4078907967,4.0174832344
3.5061216386,-3.3231169492,2.0433324157,731.4444621917,1.4695057869,2.3665707111,2.4965207577,4.1232347488,10.4828147888,9.683795929,8.508026123,5.3425726891
0.5452140671,-0.8443161076,-2.0618041327,964.0288799439,5.741669178,5.5147657394,2.6801478863,5.0954880714,4.1104245186,3.9581632614,4.461107254,5.3345623016
0.3774541922,-2.3844367541,-1.8242989457,842.3899407266,2.2004826069,5.6354460716,3.6048440933,2.6550123692,2.3971865177,2.5259504318,3.2044556141,4.7687497139
3.1844936356,4.0646962367,-0.3248021825,2000,8.919549942,5.7042274475,2.4357318878,1.7096161842,1.4932979345,1.5334689617,1.3727067709,0.9665774703
2.4951126883,-0.7401157737,1.5212116486,950.1941385032,0.6673336625,0.7713497877,3.6247944832,5.8232293129,1.3973855972,4.5298418999,9.2724933624,2.2105047703
-2.4907267309,0.5260693898,-1.4450916444,926.5767405964,2.5911335945,3.2494616508,5.4768881798,5.3201956749,5.5891819,7.0141582489,8.0063791275,2.4748511314
3.8899557258,2.5667038069,0.2767380051,1540.1878647668,1.7068291903,1.0146859884,0.8190951943,0.7790051699,0.8739475608,1.1982718706,2.4628558159,2.347053051
-1.1643994356,-4.2910483104,-0.6268087273,564.5402463509,0.5372408032,0.4880378246,0.5214297771,0.6612500548,1.1629759073,5.827729702,6.2115182877,5.8775682449
-0.6780511753,1.4886343785,2.5709629389,1128.497327616,1.7901878357,3.4288401604,3.7201488018,4.9160666466,2.1272041798,4.276134491,4.6553149223,6.1428990364
2.2129307373,1.9269199368,1.2643897075,932.2754903466,2.4649603367,2.5567288399,3.133156538,3.398670435,3.0009455681,3.1036226749,3.8136811256,2.5360116959
-4.0510631403,-2.1489059121,-0.7324844806,657.0064206788,1.7484759092,2.6542592049,2.7092475891,3.2677707672,5.1304063797,1.5587899685,7.4265317917,10.8721647263
-3.0196845809,-4.0431007458,-0.8248507354,599.8557125009,0.9072357416,0.7573029995,0.7443411946,0.8602777719,1.2449836731,3.1147720814,7.7786493301,7.2336578369
-3.5730115405,-4.0798661152,2.6016903069,554.3638575075,9.549246788,8.9874458313,3.2323560715,1.8575841188,1.4642937183,1.3779526949,1.5232729912,0.9382432699
-2.8618944488,3.2171379767,-1.5402145984,980.5113106679,2.1451227665,2.5569684505,3.9174966812,0.8793854117,0.8940681815,4.3311753273,7.0944862366,7.6388835907
-3.8810185909,1.8868070721,1.8004210054,821.0509671441,0.580904007,4.1431155205,3.2311804295,3.0228362083,2.5938811302,1.4570213556,1.1433769464,1.0697383881
1.5014088304,-1.9074540301,2.0347617327,889.4644926116,2.0718772411,6.3610315323,2.5703163147,5.2459383011,1.9792160988,7.4279980659,6.4976243973,6.6801080704
3.3453311147,3.4055949331,-2.5259113001,1923.9914758468,2.166482687,4.1579213142,2.9962282181,9.0665788651,4.3424654007,2.6025772095,3.5567741394,3.2476937771
-4.6058094628,4.0738348233,0.9220784272,70.0791768557,7.0299181938,4.2622981071,2.5668685436,1.2560169697,0.924462676,0.8346019983,0.8770102859,0.5044444799
4.1888216433,0.9464558192,-0.7658744025,1438.2161673824,1.3105216026,5.8171396255,2.258705616,0.8379920721,0.5654981732,0.4822520614,0.4948092997,0.5840824246
-1.4076673279,3.6642947631,-2.6019344164,1167.3571906236,1.6719255447,2.8870596886,3.5493941307,3.7521321774,1.9605413675,8.2556943893,8.4502477646,3.5239982605
-3.776429972,2.2201968383,-2.1993516861,848.8715753797,1.2879151106,1.1656805277,1.2475355864,1.5839290619,2.7793335915,7.0025281906,4.3622074127,0.6311783791
3.1776743987,2.023348316,2.5670603387,1508.9956225395,3.1024239063,2.8779368401,3.1350257397,4.1354875565,3.046233654,5.833466053,8.8518667221,1.1033896208
2.5327515398,-3.6997520576,2.7505386019,695.270573441,3.1461243629,8.7703170776,4.0316758156,8.9995222092,7.6285409927,5.5034790039,1.9325237274,1.3004757166
3.6728504162,-3.9618719596,-1.3483158705,684.0655752788,2.0091407299,1.1251046658,0.8715237975,0.8190641999,0.8938921094,1.1830587387,1.0673632622,0.9861722589
2.6255550501,1.7374959499,2.702228828,965.2192682543,3.262526989,3.2045989037,3.6937980652,2.8345632553,7.8065590858,7.663441658,0.7552895546,0.4863362312
4.5145862024,-0.3426233651,-0.6364807987,245.3668478028,4.8876457214,4.4407062531,0.5880728364,0.2953696549,0.2176177204,0.200000003,0.2147896439,0.2785618305
1.6451985169,-2.5668284809,1.5494979317,839.1548308048,3.0654404163,3.5794575214,2.6180722713,3.2919223309,7.585267067,2.6269578934,8.0515117645,6.748374939
-3.9919129503,4.0458341654,-2.8799729864,1044.7573495308,0.9559164643,1.2803366184,1.0099360943,0.9567085505,1.0657083988,1.4517458677,2.960306406,8.8332328796
4.5162164969,-2.0620097058,-0.4316761229,156.9346660117,2.788983345,1.2830628157,0.3788291812,0.2463959008,0.2114964277,0.2033283561,0.2411854118,0.3439450264
-2.1627195237,-0.0732615896,1.9703958064,913.4533921329,8.2386131287,3.8649263382,5.0730419159,2.4345407486,2.0833256245,3.3365082741,2.8375356197,2.8423075676
0.5816755121,2.9785431638,-2.9918452165,1460.0893101841,0.6918690801,0.3512465358,0.3962112367,5.5352072716,3.4425179958,7.4741301537,5.6246266365,7.7602171898
-1.4476427011,1.6221568403,-1.5405938618,1063.3316987935,3.5927202702,4.2929039001,6.5738954544,3.5497369766,6.5675253868,1.8978177309,7.2117218971,3.2016992569
-0.3500876527,4.4319684525,-1.5923412402,777.8779449807,4.6697282791,5.4427061081,8.0097436905,6.7674074173,0.5949277878,0.6960790157,6.1232147217,5.1308517456
-1.8302820573,2.9508744467,-1.7498577054,1065.5799194342,3.1227564812,1.5152386427,1.183588028,8.3104867935,7.7336411476,8.4233989716,9.0414686203,4.3566184044
0.8322210875,-2.8657562932,-3.0100406605,715.2561192444,2.6491196156,5.997179985,6.4516410828,5.7940216064,5.9599685669,2.9006922245,2.1247711182,1.9033641815
4.2675072025,-2.0547685806,-0.8445799052,678.2162644385,3.412088871,2.8122656345,2.7390141487,0.7938678861,0.5002783537,0.4109612703,0.3969104588,0.4552623034
-1.5492742062,-0.5659438454,0.7204085113,934.0492292707,6.9021811485,6.4366483688,1.6861150265,1.391251564,6.9011936188,5.6621832848,5.5193338394,2.5649552345
-4.2897020284,3.5959208857,-0.6248158206,928.9607400892,1.5655602217,8.3819818497,5.8361983299,1.7003022432,6.599342823,3.9471752644,3.7639811039,1.9153286219
-2.93518978,-1.3465545146,-3.0773808083,794.2916439748,6.4597492218,3.3156924248,2.3238637447,2.0358743668,2.0806462765,2.5307638645,3.9683861732,3.4594841003
0.3532840648,-4.1670279755,2.8902414416,628.2238121064,9.0820112228,9.6187610626,7.9457187653,5.8835606575,5.3119273186,1.8284169436,0.9058419466,0.6736434698
-0.1060758014,-4.3054130982,1.037246362,652.9317121006,1.4059114456,4.7773137093,5.2884449959,4.871887207,5.4569869041,3.9570412636,6.603140831,2.60836339
-2.7757665957,0.0601872204,-0.3237378422,898.0480599364,4.8698320389,2.0055208206,6.1011548042,8.5836372375,2.4462409019,4.6473121643,7.9305844307,5.5890288353
-4.3906175411,2.149748197,3.0862527423,523.2201478843,2.7770493031,1.0996470451,0.6955443025,0.5790075064,0.5716827512,0.6454404593,0.9196443558,2.2150249481
4.5580298486,-0.1639978889,-1.0083042578,267.8302732645,0.8674167991,4.9745063782,4.60658741,0.5339474082,0.3045786321,0.2257280499,0.2141263932,0.2327023745
-2.1935943752,1.4590090557,-0.6851718967,1001.7436927824,5.8883333206,3.3404295444,6.5208058357,8.1019468307,2.3794088364,3.9223294258,7.1740655899,2.6515517235
3.4927559415,1.307605057,0.6664592868,1404.8412911557,1.5516762733,1.2322229147,1.179708004,1.3108307123,1.7986609936,3.7659933567,3.6101360321,4.0285353661
2.5467560801,-0.385432352,2.7032950959,957.6934490824,5.4556660652,1.0391498804,1.2071223259,8.9076089859,2.2602491379,7.5837435722,8.5090818405,5.4606547356
4.6679909546,-2.1618035918,2.5296722743,-207.0016090175,0.4463583231,5.5697417259,7.5455179214,1.7975473404,4.7529540062,6.5005807877,7.4353079796,3.8223538399
0.6300430483,-4.4504379419,0.6940501934,294.7866873601,0.4914957881,1.0106519461,4.0429244041,4.4936161041,4.790977478,5.3804216385,4.2596106529,7.4214582443
-1.7595552892,-3.0174884219,-1.2476184634,633.2052436522,3.5615649223,2.2282588482,1.8287755251,1.7707569599,2.0244493484,2.8650798798,6.6077594757,6.4719099998
-2.8322163664,3.0019528149,-0.0893822107,1105.9303770312,0.6561484337,8.8557081223,9.6417274475,7.8110589981,2.5008044243,3.9747526646,2.4378535748,1.9776968956
4.4028319385,0.6866414456,-2.7031350972,845.8884100399,5.2315268517,4.752594471,2.0272431374,4.1737852097,1.4063882828,1.0696747303,5.5290956497,1.0752968788
-3.7386849437,4.1433598795,-0.1487359291,1089.6510828631,8.9275474548,1.9812515974,11.3835859299,8.9378395081,8.4174947739,1.7955243587,1.0325478315,0.8112840056
1.2815048206,-1.8053132333,2.9337547611,792.2628589422,6.7105736732,7.2300834656,2.0312476158,6.7856206894,6.2315216064,6.7112002373,4.2478356361,3.2249786854
1.0106544892,-2.1822381006,-2.4965514944,814.6047376825,5.7327985764,6.3122987747,2.8283846378,6.0071363449,3.484446764,2.7508990765,2.5982837677,2.8719613552
