,samp,x,vx,z,vz,phi,w,value,
0,1,-0.575296595,-0.006964108,1.911819122,0.056503895,-0.180493871,0,590.465229,
1,1,-0.5756448,-0.124180254,1.914644316,0.208174731,-0.180493871,1.184822968,590.0462543,
2,1,-0.581853813,-0.292578653,1.925053053,0.645156849,-0.121252723,1.174138985,589.3586836,
3,1,-0.596482746,-0.403987787,1.957310895,1.086250317,-0.062545774,1.163548843,588.6487175,
4,1,-0.616682135,-0.459071302,2.011623411,1.528092046,-0.004368332,1.153052658,587.9596124,
5,1,-0.6396357,-0.458680421,2.088028014,1.967423061,0.053284301,1.142648957,587.4644161,
6,1,-0.662569721,-0.403842443,2.186399167,2.401096818,0.110416749,1.132334463,587.3886259,
7,1,-0.682761843,-0.295749381,2.306454007,2.826085602,0.167033472,1.122098734,587.9366408,
8,1,-0.697549312,-0.135749548,2.447758288,3.239470762,0.223138409,1.111855726,589.2231755,
9,1,-0.70433679,0.065266218,2.609731826,3.597053603,0.278731195,0.928933884,591.5028515,
10,1,-0.701073479,0.306421827,2.789584506,3.916062007,0.325177889,0.652127254,595.2977754,
11,1,-0.685752387,0.588487653,2.985387606,4.232592142,0.357784252,0.432712012,600.1966499,
12,1,-0.656328005,0.898314135,3.197017213,4.54461435,0.379419853,0.251509248,606.6943794,
13,1,-0.611412298,1.228298548,3.424247931,4.859125039,0.391995315,0.127005087,615.5426122,
14,1,-0.549997371,1.552467186,3.667204183,5.13421669,0.39834557,-0.137075578,627.1588682,
15,1,-0.472374011,1.890738358,3.923915017,5.433282937,0.391491791,-0.271635648,640.9939869,
16,1,-0.377837093,2.220029993,4.195579164,5.73208997,0.377910008,-0.403741311,650.5476591,
17,1,-0.266835594,2.536562478,4.482183663,6.037540864,0.357722943,-0.51305618,656.597182,
18,1,-0.14000747,2.833068508,4.784060706,6.347614454,0.332070134,-0.617146698,663.0926948,
19,1,0.001645956,3.104995695,5.101441428,6.664061847,0.301212799,-0.713945991,673.92358,
20,1,0.15689574,3.343276856,5.434644521,6.973344233,0.265515499,-0.852867984,695.8492343,
21,1,0.324059583,3.310398129,5.783311732,6.414310826,0.2228721,-0.84511905,702.9047444,
22,1,0.48957949,3.277828572,6.104027274,5.860736114,0.180616147,-0.837455543,727.9533948,
23,1,0.653470918,3.24557577,6.397064079,5.312603164,0.13874337,-0.829856885,736.414688,
24,1,0.815749707,3.213639295,6.662694238,4.769873259,0.097250526,-0.822299887,743.6014746,
25,1,0.976431671,3.182018406,6.901187901,4.232525044,0.056135532,-0.814695687,750.0557989,
26,1,1.135532592,3.153133043,7.112814153,3.743637009,0.015400747,-0.631652409,766.3816417,
27,1,1.293189244,3.136305913,7.299996003,4.138544834,-0.016181873,-0.534516217,785.0240075,
28,1,1.450004539,3.090865064,7.506923245,4.507856258,-0.042907684,-0.350488533,803.8149644,
29,1,1.604547793,3.02312306,7.732316058,4.8424074,-0.060432111,-0.331388255,813.937778,
