env,algo,env.reward_type,env.set_additional_goal,loss_vf_loss,TimestepsSoFar,EpThisIter,loss_pol_surr,loss_ent,EpRewMean,ev_tdlam_before,loss_kl,EpLenMean,loss_pol_entpen,EpisodesSoFar,TimeElapsed
PlanarQuadEnv-v0,ppo,hand_craft,None,,,,,,,,,,,,
,,,,236486.0,1022,227,-0.0489821,1.45546,-436.445750391,-0.000195264816284,0.00561919,4.44,0.0,227,59.645204305648804
,,,,229994.0,2047,211,-0.0292694,1.45223,-460.128853125,-0.00773453712463,0.00709774,5.16,0.0,438,120.4783673286438
,,,,222692.0,3063,204,-0.0260781,1.45127,-460.128853125,-0.0184630155563,0.00719966,4.45,0.0,642,180.51035523414612
,,,,217023.0,4086,210,-0.0311151,1.44885,-456.745552734,-0.013010263443,0.00810376,4.68,0.0,852,243.85528874397278
,,,,209592.0,5117,203,-0.0250645,1.44866,-477.045355078,-0.00170004367828,0.00787422,5.17,0.0,1055,304.6717224121094
,,,,237208.0,6143,186,-0.0239039,1.43864,-466.895453906,-0.00166320800781,0.00665587,5.25,0.0,1241,362.25559520721436
,,,,175946.0,7166,200,-0.0236936,1.43505,-433.06245,-0.00185692310333,0.00615407,5.23,0.0,1441,421.055383682251
,,,,181306.0,8188,190,-0.0235417,1.4241,-439.829050781,5.71608543396e-05,0.00685631,5.25,0.0,1631,479.1618916988373
,,,,187783.0,9212,220,-0.0246204,1.41997,-466.895453906,-0.0014830827713,0.00629514,4.76,0.0,1851,538.6328475475311
,,,,180576.0,10237,201,-0.0309113,1.42173,-443.212351172,-0.000532865524292,0.00618672,4.84,0.0,2052,597.7447257041931
,,,,199335.0,11260,211,-0.0303112,1.41904,-443.212351172,2.38418579102e-07,0.00946382,4.88,0.0,2263,657.1177861690521
,,,,174508.0,12271,206,-0.0263294,1.41421,-463.512153516,0.000284612178802,0.00657101,4.64,0.0,2469,715.2778875827789
,,,,180912.0,13307,193,-0.0317973,1.41163,-466.895453906,-0.00078022480011,0.0100334,5.64,0.0,2662,772.8711535930634
,,,,162068.0,14335,207,-0.0403713,1.40595,-416.145948047,-0.000272750854492,0.00825665,4.77,0.0,2869,839.8675091266632
,,,,154553.0,15360,236,-0.0286354,1.40367,-422.912548828,-0.000673174858093,0.00752793,4.48,0.0,3105,910.030553817749
,,,,159134.0,16383,243,-0.0305584,1.40009,-443.212351172,0.000211417675018,0.00841767,4.07,0.0,3348,979.8882908821106
,,,,191195.0,17405,230,-0.0290902,1.3919,-480.428655469,-0.000138759613037,0.00623674,4.81,0.0,3578,1049.2015540599823
